Mã tài sản,Tên tài sản,Ngày vào sổ,Ngày sử dụng,Đơn vị sử dụng,Số lượng TS con,Số lượng Phụ lục ts,Ghi chú,Tài khoản tài sản,Dự án,Mô hình tài sản,Nguyên giá tài sản,Giá trị Khấu hao ban đầu,Kỳ khấu hao ban đầu,GTCL ban đầu,Giá trị Khấu hao phát sinh,Kỳ khấu hao phát sinh,Giá trị khấu hao còn lại,Kỳ khấu hao còn lại
D.1.XCT.0001,D.1.XCT.0001 - Xe cứu thương 14L-9863 ( BKS mới 14B-016.61),2003-12-02,2003-12-02,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,083 - NCSKII,"2113-Phương tiện vận tải, truyền dẫn","504.503.098,00","504.503.098,00","0,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCT.0002,D.1.XCT.0002 - Xe ô tô cứu thương Pajero 14A-11222,2003-12-01,2003-12-01,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,096 - Dự án  đầu tư Mở rộng nâng công suất Mỏ than Hồng Thái - Công ty Than Uông Bí,"2113-Phương tiện vận tải, truyền dẫn","491.859.790,00","491.859.790,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCT.0003,D.1.XCT.0003 - Xe ô tô cứu thương HUYNDAI -14P -0372 ( BKS mới 14B-016.65),2009-12-10,2009-12-10,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,129 - Dự án: Duy trì sản xuất năm 2009,"2113-Phương tiện vận tải, truyền dẫn","613.684.564,00","613.684.564,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCT.0004,D.1.XCT.0004 - Xe cứu thương FORD EVEREST 14A - 021.01,2011-11-08,2011-11-08,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,009 - MRNCSKTBDV ( TANDAN),"2113-Phương tiện vận tải, truyền dẫn","969.151.260,00","969.151.260,00","72,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCT.0005,D.1.XCT.0005 - Xe cứu thương mã hiệu Ford Everest TEKWL 240074 xuất xứ RMA Automotive,2024-10-18,2024-10-18,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,197 - Dự án đầu tư phục vụ sản xuất năm 2023,"2113-Phương tiện vận tải, truyền dẫn","2.386.579.226,00","0,00","0,00","2.386.579.226,00","210.108.789,39","9,00","2.176.470.436,61","87,00"
D.1.XCT.0006,D.1.XCT.0006 - Xe cứu thương mã hiệu Ford Everest TEKWL 240074 xuất xứ RMA Automotive,2024-10-18,2024-10-18,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,197 - Dự án đầu tư phục vụ sản xuất năm 2023,"2113-Phương tiện vận tải, truyền dẫn","2.386.579.227,00","0,00","0,00","2.386.579.227,00","210.108.789,47","9,00","2.176.470.437,53","87,00"
D.1.XTA.1.0006,D.1.XTA.1.0006 - Xe ôtô tải tự đổ FAW 3526-29C-203.27(BKS mới 14C-235.18),2012-12-05,2012-12-05,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,157 - Thuê Tài chính - XN Sàng tuyển và Cảng,"2113-Phương tiện vận tải, truyền dẫn","1.278.233.273,00","1.278.233.273,00","72,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.1.0010,D.1.XTA.1.0010 - Xe ôtô tải tự đổ FAW 3526-29C-203.48 (BKS mới 14C-234.52),2012-12-05,2012-12-05,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,157 - Thuê Tài chính - XN Sàng tuyển và Cảng,"2113-Phương tiện vận tải, truyền dẫn","1.278.233.273,00","1.278.233.273,00","72,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.1.0014,D.1.XTA.1.0014 - Xe ôtô tải tự đổ FAW 3526-29C-203.77 (BKS mới 14C-232.93),2012-12-05,2012-12-05,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,157 - Thuê Tài chính - XN Sàng tuyển và Cảng,"2113-Phương tiện vận tải, truyền dẫn","1.278.233.273,00","1.278.233.273,00","72,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.1.0016,D.1.XTA.1.0016 - Xe ôtô tải tự đổ FAW 3526-29C-203.95 (BKS mới 14C-233.26),2012-12-05,2012-12-05,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,157 - Thuê Tài chính - XN Sàng tuyển và Cảng,"2113-Phương tiện vận tải, truyền dẫn","1.278.233.273,00","1.278.233.273,00","72,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.2.0001,D.1.XTA.2.0001 - Ôtô HYUN DAI HD 270 14C-09123,2002-12-01,2002-12-01,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,158 - Dự án đầu tư Mở rộng tầng lò bằng +125 XN Than Nam mẫu,"2113-Phương tiện vận tải, truyền dẫn","794.561.250,00","794.561.250,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.2.0003,D.1.XTA.2.0003 - Ôtô HYUN DAI HD 270 14C-09162,2002-12-01,2002-12-01,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,158 - Dự án đầu tư Mở rộng tầng lò bằng +125 XN Than Nam mẫu,"2113-Phương tiện vận tải, truyền dẫn","794.561.250,00","794.561.250,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.2.0005,D.1.XTA.2.0005 - Xe HYUNDAI HD 270: 14L - 8293 ( BKS mới 14A-127.84),2002-09-26,2002-09-26,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,152 - NMẫu,"2113-Phương tiện vận tải, truyền dẫn","794.630.250,00","794.630.250,00","0,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.2.0006,D.1.XTA.2.0006 - Xe ô tô tải Huyndai HD72 14N-9805 ( BKS mới 14A-129.09),2009-10-21,2009-10-21,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","688.366.605,00","688.366.605,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.2.0007,D.1.XTA.2.0007 - Xe tải bệ Huyndai HD-250 14P-4829,2010-10-07,2010-10-07,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,016 - Dự án Đầu tư duy trì sản xuất năm 2010 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.792.907.554,00","1.792.907.554,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.4.0001,D.1.XTA.4.0001 - Xe ô tô Kraz 14C-09802,2006-09-30,2006-09-30,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,096 - Dự án  đầu tư Mở rộng nâng công suất Mỏ than Hồng Thái - Công ty Than Uông Bí,"2113-Phương tiện vận tải, truyền dẫn","673.378.901,00","673.378.901,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.5.0001,D.1.XTA.5.0001 - Xe tải SCANIA P310CB6x4EHZ -14C-00108,2010-12-18,2010-12-18,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,016 - Dự án Đầu tư duy trì sản xuất năm 2010 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","3.147.956.351,00","3.147.956.351,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.5.0002,D.1.XTA.5.0002 - Xe tải SCANIA P310CB6x4EHZ -14C-00135,2010-12-18,2010-12-18,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,016 - Dự án Đầu tư duy trì sản xuất năm 2010 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","3.147.956.352,00","3.147.956.352,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.5.0003,D.1.XTA.5.0003 - Xe tải SCANIA P310CB6x4EHZ -14C-00144,2010-12-18,2010-12-18,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,016 - Dự án Đầu tư duy trì sản xuất năm 2010 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","3.147.956.351,00","3.147.956.351,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.5.0004,D.1.XTA.5.0004 - Xe ô tô tải tự đổ Hiệu Scania P340CB6x4EHZ/Vmic-TĐ23M-NK V=23M3 14C-024.36 ,2011-08-02,2011-08-02,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,005 - Duy trì SX 2011,"2113-Phương tiện vận tải, truyền dẫn","4.065.778.126,00","4.065.778.126,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.5.0005,D.1.XTA.5.0005 - Xe ô tô tải tự đổ Hiệu Scania P340CB6x4EHZ/Vmic-TĐ23M-NK V=23M3 14C-024.38,2011-08-02,2011-08-02,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,005 - Duy trì SX 2011,"2113-Phương tiện vận tải, truyền dẫn","4.065.778.126,00","4.065.778.126,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.5.0006,D.1.XTA.5.0006 - Xe ôtô tải tự đổ Hiệu Scania P340CB6x4EHZ/Vmic-TĐ23M-NK V=23M3 14C-024.37,2011-08-02,2011-08-02,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,005 - Duy trì SX 2011,"2113-Phương tiện vận tải, truyền dẫn","4.065.778.326,00","4.065.778.326,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.5.0007,D.1.XTA.5.0007 - Xe ôtô tự đổ SCANIA 14C-02344( P380CB8X4EHZ/VMIC-TĐ25M-NK),2011-09-14,2011-09-14,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,017 - Dự án Đầu tư duy trì sản xuất năm 2011 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","4.211.168.656,00","4.211.168.656,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.5.0008,D.1.XTA.5.0008 - Xe ôtô tự đổ SCANIA 14C-02379( P380CB8X4EHZ/VMIC-TĐ25M-NK),2011-09-14,2011-09-14,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,017 - Dự án Đầu tư duy trì sản xuất năm 2011 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","4.211.168.655,00","4.211.168.655,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.5.0009,D.1.XTA.5.0009 - Xe ô tô tự đổ Scania 14HD-00707,2015-11-26,2015-11-26,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,068 - Đầu tư mua sắm thiết bị phục vụ sản xuất năm 2015 - Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","3.972.982.596,00","3.972.982.596,00","120,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.5.0010,D.1.XTA.5.0010 - Xe ô tô tự đổ Scania 14HD-00723,2015-11-26,2015-11-26,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,068 - Đầu tư mua sắm thiết bị phục vụ sản xuất năm 2015 - Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","3.972.982.597,00","3.972.982.597,00","120,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.5.0011,D.1.XTA.5.0011 - Xe ô tô tự đổ Scania 14HD-00814,2015-11-26,2015-11-26,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,068 - Đầu tư mua sắm thiết bị phục vụ sản xuất năm 2015 - Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","3.972.982.597,00","3.972.982.597,00","120,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.5.0012,D.1.XTA.5.0012 - Xe ô tô tự đổ Scania 14HD-00825,2015-11-26,2015-11-26,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,068 - Đầu tư mua sắm thiết bị phục vụ sản xuất năm 2015 - Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","3.972.982.597,00","3.972.982.597,00","120,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.5.0013,D.1.XTA.5.0013 - Xe ô tô tự đổ Scania 14HC-010.89,2016-12-16,2016-12-16,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,069 - Đầu tư mua sắm thiết bị phục vụ sản xuất năm 2016 - Công ty Than Hồng Thái - TKV,"2113-Phương tiện vận tải, truyền dẫn","4.257.773.806,00","4.257.773.806,00","120,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.5.0014,D.1.XTA.5.0014 - Xe ô tô tự đổ Scania 14HC-011.14,2016-12-16,2016-12-16,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,069 - Đầu tư mua sắm thiết bị phục vụ sản xuất năm 2016 - Công ty Than Hồng Thái - TKV,"2113-Phương tiện vận tải, truyền dẫn","4.257.773.807,00","4.257.773.807,00","120,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.K.0002,D.1.XTA.K.0002 - Xe ôtô tải thùng cố đinh Huydai (Xe chở nước) 14C-12153,2009-12-23,2009-12-23,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,163 - Dự án Đầu tư TB khoan thăm dò phòng ngừa bục nước và xe ôtô chở nước,"2113-Phương tiện vận tải, truyền dẫn","478.161.890,00","478.161.890,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.K.0003,D.1.XTA.K.0003 - Xe ô tô chở nước -14P-5754 ( BKS mới 14C-128.76),2010-11-24,2010-11-24,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,089 - Dự án: Duy trì sản xuất năm 2010,"2113-Phương tiện vận tải, truyền dẫn","862.654.711,00","862.654.711,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.K.0004,D.1.XTA.K.0004 - Xe ô tô chở nước môi trường 14C-030.43,2011-09-16,2011-09-16,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,017 - Dự án Đầu tư duy trì sản xuất năm 2011 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","2.273.021.358,00","2.273.021.358,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.K.0005,D.1.XTA.K.0005 - Ô tô tải bệ HINO FL&TTSL (biển 14C-14557),2015-12-11,2015-12-11,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,068 - Đầu tư mua sắm thiết bị phục vụ sản xuất năm 2015 - Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.845.006.109,00","1.845.006.109,00","120,00","0,00","0,00","0,00","0,00","0,00"
D.1.XTA.K.0006,D.1.XTA.K.0006 - Xe ô tô xi tec tưới đường : V=14m3 (BKS: 14CD-005.14),2023-10-16,2023-10-16,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,195 - Dự án đầu tư phục vụ sản xuất năm 2022,"2113-Phương tiện vận tải, truyền dẫn","1.169.840.796,00","61.322.296,00","2,00","1.108.518.500,00","241.941.580,65","21,00","866.576.919,35","73,00"
D.2.GOO.0001,"D.2.GOO.0001 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.397,00","31.650.397,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0002,"D.2.GOO.0002 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0003,"D.2.GOO.0003 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0004,"D.2.GOO.0004 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0005,"D.2.GOO.0005 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0006,"D.2.GOO.0006 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0007,"D.2.GOO.0007 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0008,"D.2.GOO.0008 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0009,"D.2.GOO.0009 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0010,"D.2.GOO.0010 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0011,"D.2.GOO.0011 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0012,"D.2.GOO.0012 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0013,"D.2.GOO.0013 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0014,"D.2.GOO.0014 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0015,"D.2.GOO.0015 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0016,"D.2.GOO.0016 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0017,"D.2.GOO.0017 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0018,"D.2.GOO.0018 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0019,"D.2.GOO.0019 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0020,"D.2.GOO.0020 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0021,"D.2.GOO.0021 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0022,"D.2.GOO.0022 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0023,"D.2.GOO.0023 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0024,"D.2.GOO.0024 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0025,"D.2.GOO.0025 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0026,"D.2.GOO.0026 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0027,"D.2.GOO.0027 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0028,"D.2.GOO.0028 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0029,"D.2.GOO.0029 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0030,"D.2.GOO.0030 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0031,"D.2.GOO.0031 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0032,"D.2.GOO.0032 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0033,"D.2.GOO.0033 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0034,"D.2.GOO.0034 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0035,"D.2.GOO.0035 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0036,"D.2.GOO.0036 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0037,"D.2.GOO.0037 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0038,"D.2.GOO.0038 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0039,"D.2.GOO.0039 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
